wallet,wallet,0.917606,0.840708,0.679511
watch,watch,0.537795,0.158042,0.182259
pen,pen,0.60399,0.108154,0.159327
shoe,mouse,0.838024,0.382021,0.618166
mouse,mouse,0.845526,0.514444,0.687039
wallet,wallet,0.941746,0.820996,0.690466
wallet,wallet,0.915364,0.811928,0.757915
watch,watch,0.556218,0.159961,0.183163
watch,watch,0.575598,0.153378,0.197996
pen,pen,0.60901,0.109111,0.16366
pen,pen,0.705852,0.126456,0.222748
mouse,mouse,0.826687,0.590462,0.801566
mouse,mouse,0.812336,0.557692,0.6647
shoe,pen,0.894928,0.0217391,0.0587903
shoe,mouse,0.826281,0.417798,0.650754
mouse ,mouse,0.8513,0.545763,0.769468
mouse,mouse,0.844145,0.526367,0.754201
wallet ,wallet,0.920965,0.793774,0.730897
watch,watch,0.529135,0.161564,0.195576
pen,pen,0.589593,0.13591,0.191466
wallet ,wallet,0.933329,0.867244,0.708973
pen,pen,0.59887,0.124771,0.17496
