wallet,0.911015,0.829271,0.648011
mouse,0.811603,0.495646,0.65161
shoe,0.627662,0.290446,0.241841
pen,0.614705,0.109912,0.165572
watch,0.536659,0.157989,0.177665
mouse,0.836276,0.535253,0.696187
